Daniel Moss,555,525,1411.526410788081
Leroy Myers,188,799,1151.873063069948
Mary Blake,105,554,1125.705493821054
Alice Reese,116,518,1190.8696944703795
Antoinette Fuller,243,880,1172.7080533190629
Alex Bowers,202,855,1167.6175721582645
Brandon Walsh,110,478,1162.5928256014765
Marcos Freeman,604,610,1413.612375372201
Karen Reese,643,663,1378.8077930506502
Mike Harmon,656,547,1390.495508420535
Ross Castillo,230,233,1367.435221098048
Nicholas Davidson,483,435,1390.7312754856107
Billie Roberts,944,953,1397.914422190043
Cary Stone,547,522,1439.773368457765
Lorene Wolfe,237,170,1439.4087240157444
Lee Potter,134,134,1430.2500776885229
Frances Summers,552,672,1406.2466236894838
Earnest Hicks,359,654,1267.770581941537
Erin Goodwin,338,831,1246.1232068484499
Luke Perkins,461,974,1241.682900284052
David Johnson,193,474,1245.7725896263403
Ellen Beck,504,992,1269.0767995008155
Olga Washington,369,710,1287.9445950937059
Hilda Terry,508,945,1295.0266338895788
Mandy Russell,402,674,1283.0412126778049
Charlie Webb,207,384,1309.3900708297615
Michele Reed,109,228,1286.4682289828954
Meghan Lawson,953,749,1434.7976576089018
Brian Dunn,727,535,1431.1537222045195
Jeanette Bass,910,616,1432.4862612502384
Bernard Wheeler,710,448,1477.4062375646477
Deborah Nelson,895,736,1499.2639079241085
Estelle Mendoza,994,676,1489.5131537917403
Grant Chandler,804,954,1381.2715486912161
Antonia Lloyd,743,879,1347.8343752619337
Sheldon Hill,265,295,1377.3058578908062
Constance Day,521,661,1381.8294141996528
Austin Chavez,445,579,1346.9816767046864
Pamela Gross,334,601,1302.9161527396375
Anna Mckenzie,629,896,1316.0677066999344
Bill Ortega,523,796,1317.9709952689716
Ricardo Rivera,225,292,1317.4648394309224
Bethany Johnson,569,658,1312.27482972487
Valerie Watson,961,22,1782.0956256358088
Jean Douglas,417,4,1792.399049881235
Arturo Goodman,919,19,1783.7953091684435
Melba Ford,937,37,1785.0344462437297
Ann Owen,922337203685477580,56,1800.0
Irving Houston,852,11,1789.8030127462341
Lewis Johnston,960,39,1754.0832547286157
Rosemarie Christensen,52,700,1055.3191489361702
Jacob Brown,1,337,1002.3668639053254
Simon Ingram,99,843,1068.4468983686818
Dewey Fitzgerald,3,328,1007.250755287009
Pam Alexander,30,784,1029.4840294840296
Alberto Watts,65,748,1063.960639606396
Kristopher Turner,0,0,1000.0
Pedro Mccormick,43,491,1064.4194756554307
Mack Gonzales,27,692,1030.0417246175243
Candace Reynolds,236,8,1789.1183748680262
Wade Carter,864,72,1753.8515453528307
Sherri Thomas,266,33,1711.7056856187291
Harold Grant,820,71,1721.6228282576963
Ruth Soto,670,85,1725.5736949242723
Ralph Ray,624,52,1724.0997321278587
Tara Harvey,632,138,1671.9328092947296
Julie Henderson,793,155,1684.819561390763
Loretta Fletcher,616,92,1711.3940394601018
Irving Franklin,347,62,1694.190743865865
Leah Patton,17,884,1015.0943396226414
Hannah Sullivan,0,499,1000.0
Jermaine Sandoval,39,910,1032.876712328767
Clay Adams,93,814,1065.400671179223
Kristin Watts,892,57,1751.949420442571
Frank Nash,104,781,1126.1686413430416
Tom Greene,131,782,1114.4796055216457
Ernestine Holloway,64,500,1136.4628153093756
Ray Lindsey,109,608,1104.7498333035328
Salvatore Hart,229,929,1125.2061336711542
Nichole May,99,591,1112.6344948936905
Rogelio Caldwell,175,613,1177.0298814523599
Robin Jefferson,205,434,1225.5813856691886
Darrell Howard,146,457,1208.5479635882416
Lois Mann,206,548,1203.0009680385183
Justin Powers,265,770,1204.4320413398295
Felipe Silva,246,686,1211.1707654394459
Roderick Bailey,72,205,1206.519334981371
Irvin Moody,435,101,1636.388647293279
Mae Mathis,919,166,1662.4694109709776
Abel Cruz,739,105,1685.5454922655983
Fannie Rios,626,163,1635.6010744922162
Kristine Newman,853,179,1676.8650939162635
Kerry Silva,669,129,1656.0223150091865
Christy Berry,373,91,1644.6076348134536
Olive Bush,756,221,1620.483849819163
Cesar Yates,123,325,1248.8214373957592
Traci Harrington,103,571,1091.005105109973
Ramon Huff,99,640,1091.59819045546
Christie Ward,123,709,1102.8367990886059
Maggie Cortez,242,890,1123.938395590171
Laura Black,114,697,1127.3238209868766
Roxanne Morrison,235,982,1123.1185677789913
Jake Baker,575,380,1498.51181722286
Wesley Carroll,609,346,1479.249136705916
Terry Carpenter,902,606,1477.4967916316036
Kathy Green,677,546,1475.342855778394
Mamie Spencer,805,525,1485.2602828039714
Rachael Lee,840,453,1490.6923447731267
Oscar Houston,287,174,1468.3879718147941
Mathew Park,650,312,1509.9857087314351
Bernard Mckinney,212,115,1473.2738771492222
James Drake,355,488,1397.9964146814807
Jennifer Tran,493,439,1360.9486669896942
Todd Montgomery,715,915,1381.580806543478
Jo Park,1002,952,1410.2218866870805
Cary Pierce,676,588,1442.8483363303424
Sandy Warner,741,264,1559.267991062714
Ronald Castillo,861,357,1519.7818802339762
Ana Clarke,743,231,1565.2196526977561
Guadalupe Saunders,822,430,1555.19882379634
Yvonne Ferguson,452,217,1555.2267698822866
Rex Clarke,893,468,1556.1546413144615
Harriet Morrison,883,419,1527.784533155851
Susan Potter,235,487,1259.5147114570511
Joshua Chapman,448,880,1285.4041751066354
Eduardo Patrick,479,838,1276.121324664063
Jamie Parks,373,216,1522.3533276540672
Paulette Jennings,134,319,1191.2024720200477
Dexter Estrada,312,780,1197.209747036709
Flora Webster,77,194,1196.8435111904946
Ian Poole,130,479,1200.0324335124974
Merle Hansen,755,316,1595.9053137352769
Conrad Stanley,230,77,1588.8435737329403
Doris Harrison,279,64,1608.7497406304608
Desiree Rhodes,879,326,1598.038711198296
Sophia Butler,980,376,1639.8667590941852
Jeff Quinn,262,78,1647.9830135624263
Candace Hawkins,770,280,1604.9417456190808
Clyde Chapman,489,245,1533.190998394864
Traci Harris,688,813,1320.4852204457732
Stephanie Sutton,770,927,1331.4642992822007
Dianna Obrien,726,934,1352.3248247412298
Nick Mccoy,703,897,1319.6493496248127
Peter Myers,433,360,1421.0050733872226
Lester Tucker,284,354,1398.243694465523
Vicki Rios,611,547,1392.046427153642
Jackie Allison,165,201,1375.853269259045
Jo Ramos,842,870,1408.4304317544804
Julio Hale,856,704,1454.3612933776765
Jenna Stokes,789,565,1467.273816625348
Martha Pierce,776,997,1349.7010656775108
Rickey Lindsey,667,183,1629.092638063157
